person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Grațian Popa,grațianpopa,grațianpopa@kappa.ro,8150412305473,1932-04-20,"Bulevardul Eustațiu Marin, Negresti, 633179",021 498 3024,02:f2:8e:a7:73:d2,122.174.228.213,RO32JQNC0399697390382958,2025-06-18 02:54:42,7919,912,114,258712,865c8c74-8f58-4c62-918a-508e6b1ca629
Valentina Nemeș,valentinanemeș,valentinanemeș@post.ro,8310621373059,2012-10-11,"Bulevardul Casandra Pușcașu Nr. 113 Bl. 91  Sc. 77 Ap. 911, Fagaras, 803298",0748 683 137,da:06:0e:42:15:35,75.82.68.109,RO53ROQK6916643679567732,2025-06-18 02:54:42,17341,347,252,1142992,13073ac2-d102-4cb8-9eb0-d2df6795fdd7
Brăduț Ionescu,brăduționescu,brăduționescu@email.ro,5380527059056,2008-01-08,"Aleea Toma Nr. 578 Bl. 46  Sc. 32 Ap. 544, Plosca, 501623",0739 292 046,66:7f:f2:b8:30:bd,91.234.119.77,RO80KCQI0722842662116572,2025-06-18 02:54:42,20110,500,728,1763974,211f5c40-d2c4-4665-bafe-f63189af4296
Romulus Tabacu,romulustabacu,romulustabacu@zzup.ro,8240605145009,1985-11-17,"Soseaua Rada Popescu, Onesti, 393770",0266 440 975,9a:0a:ca:60:9a:6a,214.199.143.164,RO95AKTA6456714534900037,2025-06-18 02:54:42,29405,628,20,1743347,48cc25a3-0f70-4c7a-b09e-a3fbdb2a0169
Florica Eftimie,floricaeftimie,floricaeftimie@email.ro,2370321241996,1972-03-01,"Intrarea Ionescu, Harlau, 438433",0266 571 269,e2:9f:7e:4d:18:56,40.251.242.165,RO76MDTL3235703582365904,2025-06-18 02:54:42,22294,877,271,1402338,82ffe9da-304b-4bc7-92a6-eb05bf9f37a2
Matei Diaconescu,mateidiaconescu,mateidiaconescu@zzup.ro,5130213221121,2023-03-14,"Drumul Doina Pușcașu Nr. 18 Bl. 98  Sc. 89 Ap. 885, Balotesti, 317432",0729 853 171,7a:d3:06:ab:22:ef,7.198.212.160,RO90IVVF0041308970060522,2025-06-18 02:54:42,25555,920,125,357086,f6c72513-b9c5-4f76-9567-02851db97eb3
Lucreția Nistor,lucrețianistor,lucrețianistor@kappa.ro,3140817131461,1994-02-26,"Drumul Preda Nr. 78, Sacueni, 387795",0750 782 506,d4:77:97:21:a1:c5,26.59.189.189,RO14DFIL6718875145566248,2025-06-18 02:54:42,3542,799,251,873198,f8d01fd2-cedf-46e0-92f8-d60a66c1e409
Leontin Stoica,leontinstoica,leontinstoica@post.ro,4581024466107,2012-09-25,"Intrarea Diaconu Nr. 472 Bl. 34  Sc. 73 Ap. 250, Pancota, 159704",0762 651 667,a2:9d:7e:13:7a:95,59.44.43.21,RO13GQHX8971435530074177,2025-06-18 02:54:42,32345,947,236,377556,f2051c05-7f69-4b99-bc3f-3dd390d7fdff
Petrică Tomescu,petricătomescu,petricătomescu@acasa.ro,8000602071381,1987-04-17,"Bulevardul Tomescu Nr. 846, Moinesti, 407407",0267 450 491,5e:89:59:cc:c2:5f,67.42.33.36,RO93LJIQ8654377867180064,2025-06-18 02:54:42,34970,189,598,675225,3606235c-c29b-4539-a0e8-5447f1e3a4ff
Toma Suciu,tomasuciu,tomasuciu@kappa.ro,1061221255809,2015-08-20,"Drumul Filip Suciu, Cluj-Napoca, 847920",0750 832 430,b4:50:54:3b:d5:d1,68.92.97.24,RO44MDYL9984898689715429,2025-06-18 02:54:42,23967,112,338,838321,f52ec233-8304-4906-a079-a177c2ba688c
Diana Popescu,dianapopescu,dianapopescu@gmail.com,8260507280474,1942-07-19,"Drumul Ababei Nr. 589 Bl. 78  Sc. 15 Ap. 748, Simeria, 430517",0747 244 339,88:47:0e:11:9c:a6,167.189.220.36,RO52XXMQ2913128208873158,2025-06-18 02:54:42,4105,298,336,1127751,4dccf858-35e3-4586-bc99-d766eafdae51
Nechifor Dima,nechifordima,nechifordima@acasa.ro,6771218275841,2007-08-06,"Intrarea Gherghina Dima Nr. 437 Bl. 34  Sc. 32 Ap. 493, Campulung, 530996",0723 299 638,06:83:9b:4b:8f:be,208.43.182.189,RO80BBEM4724913135581827,2025-06-18 02:54:42,32341,652,20,1189551,68cee0ff-c103-4e60-bc39-5438f9009277
Mărioara Ionescu,mărioaraionescu,mărioaraionescu@gmail.com,7150719529077,2006-06-09,"Drumul Stan Nr. 220, Motru, 515256",0732 907 900,0c:79:84:d9:36:63,15.44.194.124,RO39ZUKR8295819984817375,2025-06-18 02:54:42,23959,417,120,1050503,e355eed1-40b6-426f-a2a8-e4ab00857d06
Titus Preda,tituspreda,tituspreda@zzup.ro,5740817382719,1945-12-02,"Intrarea Popescu, Oituz, 435484",0732 726 137,ae:39:3f:38:78:67,197.3.187.3,RO16HUBN2657582896573466,2025-06-18 02:54:42,13270,717,703,127121,14dbd77e-bf82-4a1f-b01e-59b4d86a28b4
Erica Diaconescu,ericadiaconescu,ericadiaconescu@gmail.com,7970802399771,2008-01-23,"Soseaua Stan Nr. 730, Tomesti, 264222",0262 007 574,70:ba:9c:19:31:71,144.10.52.160,RO02UMLX7624529277191409,2025-06-18 02:54:42,17887,720,511,1801142,b746eede-7add-4f37-b50f-714ed292fbc8
Cezar Tabacu,cezartabacu,cezartabacu@post.ro,2930217044979,1964-04-03,"Soseaua Georgescu, Fagetel (Remetea), 631087",0263 666 614,e4:0f:a8:7a:ff:91,193.70.125.75,RO10VZDM6507457038404167,2025-06-18 02:54:42,9818,681,61,1696464,df8d0d48-bf63-4ce0-abdf-ababc412569e
Voichița Florea,voichițaflorea,voichițaflorea@141.ro,6920105049016,1944-11-12,"Intrarea Popa, Alexandria, 989166",0269 939 710,32:34:38:18:0c:30,208.68.190.25,RO86WPRY1310814071638538,2025-06-18 02:54:42,15419,148,758,1656279,5b055e7c-114d-4bd4-8676-c573c59d654c
Ludovic Diaconescu,ludovicdiaconescu,ludovicdiaconescu@141.ro,6230907468445,1939-12-25,"Bulevardul Albu Nr. 221 Bl. 66  Sc. 31 Ap. 509, Stei, 799931",0741 655 805,e8:5e:2d:c0:0a:41,43.35.60.124,RO42OYDJ6154100170928829,2025-06-18 02:54:42,9670,197,265,570679,608fb1e3-eee6-44da-93af-c50e55080d70
Consuela Ionescu,consuelaionescu,consuelaionescu@gmail.com,8320916328454,2017-07-19,"Aleea Maricica Albu, Anina, 585786",0731 083 480,92:05:db:9c:b6:8d,2.65.85.163,RO82XMJI6235048904369778,2025-06-18 02:54:42,13123,610,7,685734,f9f2552c-b5f2-423a-9b88-cd23797b341a
Miron Tomescu,mirontomescu,mirontomescu@gmail.com,5531220062774,2024-04-05,"Aleea Ioniță, Targu Ocna, 997509",0753 961 544,6e:fa:ab:1d:95:c1,18.121.137.249,RO25CREY9346194008038834,2025-06-18 02:54:42,7891,364,43,1316021,589dea27-4177-4748-9bce-44528626ed03
Ionel Nistor,ionelnistor,ionelnistor@kappa.ro,6410222219407,2011-05-17,"Drumul Dumitrescu Nr. 210, Drobeta-Turnu Severin, 313632",0745 069 587,e8:85:ba:bf:0e:23,18.30.110.222,RO83JERK9829541202488297,2025-06-18 02:54:42,8951,254,278,821366,820e7d4f-58b9-4272-a839-7e20a0ae2685
Fabian Tabacu,fabiantabacu,fabiantabacu@141.ro,4680319152330,1929-05-24,"Soseaua Bogdana Florea Nr. 630 Bl. 18  Sc. 83 Ap. 407, Nadlac, 586788",0266 320 062,82:97:1f:88:18:82,55.4.186.191,RO97HNUB1615314723306588,2025-06-18 02:54:42,910,864,794,1968363,ed416fcc-8be8-4c7f-b456-387d182324be
Damian Niță,damianniță,damianniță@kappa.ro,2330909148468,1973-08-28,"Bulevardul Cristea Nr. 407, Dancu, 539273",0732 076 618,fc:f4:ae:1e:73:bb,149.179.224.147,RO54TGLW4807869397245656,2025-06-18 02:54:42,20165,648,58,1751037,19f01817-7397-402f-8593-b9c7ced014bd
Amedeu Stancu,amedeustancu,amedeustancu@gmail.com,3900711177541,1991-05-29,"Bulevardul Ionescu Nr. 561, Poiana Mare, 338755",0262 943 672,1a:5e:bf:38:53:95,133.12.133.206,RO51UBJM4640600750951564,2025-06-18 02:54:42,28132,749,358,1872631,3a8bf12c-bef8-4d4d-a53b-0fa801c21c49
Julia Diaconescu,juliadiaconescu,juliadiaconescu@email.ro,2400401238774,1952-07-20,"Soseaua Tudor, Lunca Cetatuii, 293779",0231 392 602,56:6d:f4:61:25:c7,163.172.178.253,RO34ECCU3287191015829073,2025-06-18 02:54:42,11733,433,440,1167900,d3a7531a-9cd0-43ba-ae85-714e8cb08471
Daniel Gheorghiu,danielgheorghiu,danielgheorghiu@zzup.ro,3430325396482,1981-02-12,"Aleea Gianina Voinea, Tasnad, 816007",0763 473 014,a0:0d:b2:cd:76:12,98.142.16.237,RO95HAIV3995393241453257,2025-06-18 02:54:42,33924,897,307,533113,d572fa68-e981-45bf-ac71-3b9fa8141876
Rareș Dinu,rareșdinu,rareșdinu@email.ro,1060230365001,1979-12-28,"Strada Marin Nr. 78 Bl. 16  Sc. 92 Ap. 158, Craiova, 422944",0260 020 598,80:de:e4:2c:e0:f5,197.47.140.160,RO70PEEF8958470463812102,2025-06-18 02:54:42,6786,510,607,1287294,62b9898f-153c-4d2d-9ad2-d8f09898c8b2
Teohari Preda,teoharipreda,teoharipreda@post.ro,6930112092402,1928-12-18,"Aleea Oprea Nr. 845 Bl. 59  Sc. 50 Ap. 868, Fetesti, 624819",0233 848 774,1c:9c:2b:cd:3b:c0,151.9.208.14,RO27JLXO6794706915654768,2025-06-18 02:54:42,15074,717,9,355617,6d808ba9-7c74-4496-bcd7-62547fe1a5e8
Savina Tabacu,savinatabacu,savinatabacu@gmail.com,2010306260694,1962-01-17,"Intrarea Marin, Iasi, 349578",0723 406 056,0e:0b:d9:00:90:93,2.86.217.248,RO43TLNJ6105550072029924,2025-06-18 02:54:42,772,731,146,977370,18e750e2-d7dc-4fd8-b942-ab6625837268
Ionică Marin,ionicămarin,ionicămarin@zzup.ro,6280514359756,1922-07-16,"Soseaua Dinu Nr. 63 Bl. 69  Sc. 40 Ap. 267, Cornetu, 309850",0263 831 661,0e:13:ac:32:f9:5a,15.189.42.133,RO94LLYK4339303637637482,2025-06-18 02:54:42,63,958,546,130548,fb714a1c-fdb7-4fb3-945d-8d247991916b
Niculina Niță,niculinaniță,niculinaniță@zzup.ro,2970721305959,1985-10-23,"Aleea Pușcașu Nr. 136, Moreni, 552646",0731 326 950,e2:6f:f2:a5:5e:be,144.93.242.197,RO29FCLO4325589107135143,2025-06-18 02:54:42,16440,822,727,1912979,fac8d422-2e9f-46e1-8acd-bd63a0d51aa7
Dorin Ardelean,dorinardelean,dorinardelean@gmail.com,4670505357278,1971-07-24,"Soseaua Toma Nr. 953, Timisoara, 934726",0266 679 855,2c:27:05:65:19:64,33.22.10.172,RO72WYUR7559230820750731,2025-06-18 02:54:42,33104,227,712,1239701,325cd486-d603-4192-b9e6-521f35cab990
Alexandru Nistor,alexandrunistor,alexandrunistor@141.ro,6410419212544,1988-09-15,"Strada Niță Nr. 924, Cugir, 739589",0711 833 205,f6:03:b3:88:da:51,170.223.120.0,RO12XXTZ7092123356125645,2025-06-18 02:54:42,33729,360,458,489577,0a0147db-fd6e-40f3-a775-e7b73d3aed0f
Venera Ene,veneraene,veneraene@kappa.ro,2590826016688,1939-01-05,"Strada Mocanu Nr. 203 Bl. 95  Sc. 55 Ap. 755, Cumpana, 114875",0242 904 269,3e:76:e9:a7:ea:84,8.16.59.246,RO11UNRI8125262542005386,2025-06-18 02:54:42,4223,797,440,1035678,f1aa11a3-1453-4e99-844d-a87e9a8a4624
Codruța Popescu,codruțapopescu,codruțapopescu@kappa.ro,2771001138158,1980-11-03,"Strada Maia Mocanu, Rovinari, 156431",0252 017 154,e6:18:8e:55:0c:bb,199.34.80.90,RO17EJIA1517589209636434,2025-06-18 02:54:42,27204,106,428,957475,d5d35130-324e-4a79-9172-9d8f65ea6229
Iancu Nemeș,iancunemeș,iancunemeș@zzup.ro,8360416149130,2010-05-02,"Drumul Dobre Nr. 46, Campina, 724277",0244 348 632,3a:e7:c8:a7:1d:49,111.34.3.185,RO59JESX8408792204001470,2025-06-18 02:54:42,34162,94,651,626001,671c722d-ead0-42d5-9680-09afad7abe85
Carol Stoica,carolstoica,carolstoica@acasa.ro,7980911332356,1959-04-27,"Soseaua Simion Nistor, Dumbraveni, 522299",0727 949 322,5e:81:28:cb:7e:6d,24.194.9.154,RO04CFRB0741909497924399,2025-06-18 02:54:42,28671,231,71,811327,8b019754-1ab5-4ec9-8ae0-d23d2c7a6e22
Flavia Stănescu,flaviastănescu,flaviastănescu@post.ro,4510807327701,1987-08-18,"Strada Nistor Nr. 85, Balan, 353829",0762 846 199,ac:f6:ad:70:fb:1b,195.93.5.91,RO47QQAT0326823458629630,2025-06-18 02:54:42,24628,507,328,1760615,f9007f60-dcad-4886-97d9-7f5a82ad93b9
Zeno Diaconescu,zenodiaconescu,zenodiaconescu@acasa.ro,8570914447679,1955-09-01,"Aleea Diaconu Nr. 57, Tuzla, 732349",0241 420 444,2a:1a:48:83:f6:22,139.59.57.170,RO28UHPI3754552654984258,2025-06-18 02:54:42,35932,157,42,441546,55759d79-f52d-4578-b06d-e13d20047f06
Ionel Mocanu,ionelmocanu,ionelmocanu@post.ro,6400909256932,2020-12-08,"Strada Tabacu, Ruscova, 918897",0733 062 147,38:72:12:c3:38:ba,89.192.31.232,RO38IUXO3787898779716169,2025-06-18 02:54:42,32338,246,417,1043388,54d24c90-7efd-4f48-9706-bb137b1091f3
Mona Mazilescu,monamazilescu,monamazilescu@141.ro,7750430233401,1977-09-03,"Soseaua Dacian Stănescu Nr. 419, Baicoi, 165490",0258 375 493,2a:80:d2:fb:6e:e8,203.4.237.51,RO32JOLR1656052557738115,2025-06-18 02:54:42,7111,21,300,630128,76b80cbb-4699-454a-b443-8fe405782cc8
Daniel Dobre,danieldobre,danieldobre@kappa.ro,1130401048653,1965-12-20,"Aleea Preda Nr. 96, Dragu-Brad, 750927",0730 082 753,b6:46:3b:33:df:41,24.44.177.20,RO14SFBC6107610689055516,2025-06-18 02:54:42,27304,254,218,728831,a60026c3-8e6b-429e-aafd-0068e489671f
Magdalena Toma,magdalenatoma,magdalenatoma@141.ro,3011113047194,1934-03-13,"Soseaua Florea Nr. 373, Jimbolia, 860140",0771 220 860,a4:b3:c3:6a:94:6a,58.212.241.238,RO48KQLW9583955520063555,2025-06-18 02:54:42,2452,577,164,1534450,ec0cc6a4-f860-4cb7-a03a-4873a55725cb
Stancu Pop,stancupop,stancupop@post.ro,6101016171331,2017-10-25,"Intrarea Gheorghiu Nr. 400 Bl. 73  Sc. 67 Ap. 918, Siret, 971259",0263 168 307,cc:31:d5:7c:66:7c,62.219.229.220,RO77OSMN0588509810683300,2025-06-18 02:54:42,20966,416,416,442811,d7ae700f-8282-4b80-8a48-0e703158b0fd
Bogdana Ionescu,bogdanaionescu,bogdanaionescu@acasa.ro,1870415519959,1976-01-03,"Intrarea Mazilescu, Otelu Rosu, 190805",0252 729 817,80:4b:22:b7:16:a6,77.157.3.183,RO32EZGX4702804212356818,2025-06-18 02:54:42,13278,632,610,68496,c824c55c-1e6e-400f-b26f-9d25fd4b4866
Dariana Stănescu,darianastănescu,darianastănescu@email.ro,1770608452321,2011-11-29,"Soseaua Ionescu Nr. 25 Bl. 49  Sc. 99 Ap. 255, Oradea, 132743",0746 903 221,5c:58:ba:27:fb:19,205.186.148.92,RO23IKOX9066158296669852,2025-06-18 02:54:42,18725,378,347,1796449,6d12c089-71c7-461a-8faa-af86babd8432
Corneliu Toma,corneliutoma,corneliutoma@zzup.ro,8020101247834,1915-05-06,"Bulevardul Fabian Popescu Nr. 77 Bl. 29  Sc. 90 Ap. 867, Cudalbi, 891039",0742 041 692,2a:d3:42:53:9e:91,184.13.53.56,RO65LACV0161765354676016,2025-06-18 02:54:42,22527,864,273,1539179,e3e4e17c-5b9f-43b7-b0c9-c3c63ad271ab
Angel Tomescu,angeltomescu,angeltomescu@kappa.ro,8280417333273,2022-08-27,"Strada Diaconescu Nr. 11 Bl. 41  Sc. 58 Ap. 837, Turnu Magurele, 641809",0269 827 141,36:2b:df:b7:91:c0,195.9.38.6,RO27UPIK5167563235442099,2025-06-18 02:54:42,21654,399,170,852772,f5ba7225-7ac9-48a4-bb61-02a7f6b5496a
Teona Tabacu,teonatabacu,teonatabacu@gmail.com,6001016248701,1989-07-24,"Strada Estera Stănescu Nr. 283, Baia Sprie, 443383",0722 936 986,32:87:c5:4a:5b:bd,121.8.165.88,RO17NORX1097484805922910,2025-06-18 02:54:42,31878,531,496,117825,022b5899-c753-484f-87f9-e0b207dab38c
